state,num_schools,avg_median_debt,avg_default_rate_pct,avg_earnings_10yr,debt_rank
MA,97,15606.0,0.0,63035.0,1
CT,33,14870.0,0.0,58456.0,2
IN,56,14433.0,0.0,48398.0,3
AL,41,13047.0,0.0,44323.0,4
MN,69,12879.0,0.0,51251.0,5
ME,27,12458.0,0.0,49986.0,6
MO,76,12415.0,0.1,46764.0,7
GA,70,12404.0,0.1,44495.0,8
MI,89,12240.0,0.0,45324.0,9
MD,48,12228.0,0.1,50782.0,10
IA,63,12139.0,0.0,45498.0,11
IL,130,11787.0,0.1,47658.0,12
LA,48,11606.0,0.2,40230.0,13
MS,30,11422.0,0.1,36949.0,14
ID,14,11125.0,0.1,42846.0,15
