rank,inst_name,state,control_label,debt,earnings_10yr,roi_ratio,default_pct,completion_pct,total_score
1,Massachusetts Institute of Technology,MA,Private Non-Profit,12462.0,143372.0,11.5,0.0,96.1,20
1,Wellesley College,MA,Private Non-Profit,8700.0,84803.0,9.75,0.0,91.2,20
1,Johns Hopkins University,MD,Private Non-Profit,9000.0,87555.0,9.73,0.0,94.6,20
1,Yale University,CT,Private Non-Profit,11648.0,100533.0,8.63,0.0,96.3,20
1,Pomona College,CA,Private Non-Profit,10000.0,77779.0,7.78,0.0,93.2,20
1,University of California-Berkeley,CA,Public,12000.0,92446.0,7.7,0.0,92.9,20
1,Georgetown University,DC,Private Non-Profit,13500.0,103494.0,7.67,0.0,94.3,20
1,Williams College,MA,Private Non-Profit,11667.0,88665.0,7.6,0.0,96.6,20
1,University of California-Davis,CA,Public,11000.0,80838.0,7.35,0.0,85.1,20
1,Bowdoin College,ME,Private Non-Profit,12000.0,82735.0,6.89,0.0,95.6,20
1,University of Chicago,IL,Private Non-Profit,13368.0,91885.0,6.87,0.0,94.9,20
1,Scripps College,CA,Private Non-Profit,11853.0,77539.0,6.54,0.0,87.1,20
1,Babson College,MA,Private Non-Profit,19000.0,123938.0,6.52,0.0,92.4,20
1,Santa Clara University,CA,Private Non-Profit,16845.0,109183.0,6.48,0.0,88.5,20
1,Amherst College,MA,Private Non-Profit,12000.0,77644.0,6.47,0.0,93.4,20
1,Northwestern University,IL,Private Non-Profit,14000.0,89363.0,6.38,0.0,95.9,20
1,University of California-Los Angeles,CA,Public,12983.0,82511.0,6.36,0.0,92.7,20
1,California Polytechnic State University-San Luis Obispo,CA,Public,15396.0,90768.0,5.9,0.0,85.2,20
1,University of California-Irvine,CA,Public,13820.0,80735.0,5.84,0.0,86.0,20
1,Boston College,MA,Private Non-Profit,17962.0,103937.0,5.79,0.0,91.0,20
1,University of California-San Diego,CA,Public,14778.0,84943.0,5.75,0.0,87.6,20
1,Washington University in St Louis,MO,Private Non-Profit,15000.0,86182.0,5.75,0.0,94.5,20
1,University of Southern California,CA,Private Non-Profit,16112.0,92498.0,5.74,0.0,92.0,20
1,Bates College,ME,Private Non-Profit,12442.0,69498.0,5.59,0.0,90.6,20
1,Colorado School of Mines,CO,Public,17500.0,97335.0,5.56,0.0,79.4,20
1,Tufts University,MA,Private Non-Profit,15043.0,83214.0,5.53,0.0,93.3,20
1,Colby College,ME,Private Non-Profit,15000.0,80490.0,5.37,0.0,90.2,20
1,Pitzer College,CA,Private Non-Profit,13000.0,69512.0,5.35,0.0,83.2,20
1,Wesleyan University,CT,Private Non-Profit,13824.0,73897.0,5.35,0.0,91.6,20
1,University of Notre Dame,IN,Private Non-Profit,19000.0,99980.0,5.26,0.0,96.8,20
